ACCOLATE,Zafirlukast,Asthma: Chronic urticaria (off-label use):
AMBIEN,Zolpidem,Insomnia:
AMBIEN CR,Zolpidem,Insomnia:
AMICAR,Aminocaproic acid,"Intracranial hemorrhage associated with thrombolytics (plasminogen-activator) (eg, alteplase, reteplase, tenecteplase) (off-label use):  Subarachnoid hemorrhage (off-label use): Prevention of dental procedure bleeding in patients on oral anticoagulant therapy (off-label use): Control of bleeding with severe thrombocytopenia (off-label use) (Bartholomew 1989, Gardner 1980): Control of oral bleeding in congenital and acquired coagulation disorder (off-label use): Traumatic hyphema (off-label use): Prevention of perioperative bleeding associated with cardiac surgery (off-label use): Control of refractory bleeding associated with extracorporeal membrane oxygenation (off-label use):  Acute bleeding:"
AMMONUL,Sodium phenylacetate-sodium benzoate,"Hyperammonemia, acute (urea cycle disorders): "
AMOXIL,Amoxicillin,"Erysipeloid (off-label use): Lower respiratory tract infections: Prophylaxis in total joint replacement patients undergoing dental procedures which produce bacteremia (off-label use): Endocarditis, prophylaxis (off-label use): <i>Enterococcus</i> Lyme neuroborreliosis (off-label use) (when doxycycline is contraindicated):  Lyme disease (excluding neurologic disease) (off-label use) (IDSA [Wormser 2006]): eradication: Pharyngitis, group A streptococci: Usual dosage range: Helicobacter pylori  Periodontitis (aggressive) (in combination with metronidazole) associated with presence of  Indication-specific dosing: Anthrax, inhalational postexposure prophylaxis (CDC recommendations) (off-label use): Ear, nose, throat, genitourinary tract, or skin/skin structure infections:  Prosthetic joint infection, chronic antimicrobial suppression of prosthetic joint infection associated with beta-hemolytic streptococci, penicillin-susceptible <b><i>Enterococcus</i></b> spp, or <i>Cutibacterium</i> spp (off-label use):"
ANAFRANIL,Clomipramine,"MAO inhibitor recommendations: Panic disorder (off-label use):  Discontinuation of therapy: Obsessive-compulsive disorder (OCD), treatment: Major depressive disorder (off-label use):"
ANCOBAN,"
       ",Couldn't get indication.
ANGIOMAX,Bivalirudin,"Ischemic heart disease: Heparin-induced thrombocytopenia (HIT) (off-label use): Cardiac surgery in patients with acute or subacute heparin-induced thrombocytopenia, urgent surgery required (off-label use) (Linkins 2012): "
ANTARA,Fenofibrate,Hypercholesterolemia or mixed hyperlipidemia: Hypertriglyceridemia:
ARAVA,Leflunomide,"CMV disease, resistant to standard antivirals (off-label use): Rheumatoid arthritis:"
ARICEPT,Donepezil,Dementia associated with Parkinson disease (off-label use): Alzheimer disease: Traumatic brain injury (off- Vascular dementia (with comorbid Alzheimer disease) (off-label use): Lewy body dementia (off-label use): 
ARICEPT ODT,Donepezil,Dementia associated with Parkinson disease (off-label use): Alzheimer disease: Traumatic brain injury (off- Vascular dementia (with comorbid Alzheimer disease) (off-label use): Lewy body dementia (off-label use): 
ARIXTRA,Fondaparinux,Heparin induced thrombocytopenia treatment (off-label use) Acute symptomatic superficial vein thrombosis (‰ä´5 cm in length) of the legs (off-label use): Acute coronary syndrome (off-label use): Transitioning between anticoagulants: VTE prophylaxis with history of HIT (off-label use): Acute DVT/PE treatment:  Acute thrombosis (unrelated to HIT) in patients with a past history of HIT (off-label use) (Guyatt 2012; Warkentin 2011a): VTE prophylaxis in patients undergoing major surgery for cancer (off-label use):  VTE prophylaxis in hospitalized cancer patients (off-label use):  VTE prophylaxis:
AROMASIN,Exemestane,"Breast cancer, risk reduction (off-label use): Breast cancer, early (first-line adjuvant treatment; off-label use): Dosage adjustment with strong CYP3A4 inducers: Breast cancer, advanced: Breast cancer, early (adjuvant treatment):"
ARTHROTEC,Diclofenac-misoprostol,Rheumatoid arthritis: Osteoarthritis:
ASTELIN,Azelastine,Seasonal allergic rhinitis:
ATACAND,Candesartan,Hypertension: Heart failure:
ATIVAN,Lorazepam,Dosage adjustment for lorazepam with concomitant medications: Agitation in the ICU patient (off-label use): Premedication for anesthesia: Alcohol withdrawal syndrome (off-label use):  Rapid tranquilization of the agitated patient (off-label use): Alcohol withdrawal delirium (off-label use) (Mayo-Smith 2004): Anxiety disorder: Psychogenic catatonia (off-label use): Insomnia due to anxiety or stress: Chemotherapy-associated nausea and vomiting (off-label use):  Status epilepticus:
ATRALIN,Topical tretinoin,"Acne vulgaris: Palliation of fine wrinkles (Refissa/Renova), mottled hyperpigmentation, and tactile roughness of facial skin (Refissa):"
AUGMENTIN,Amoxicillin-clavulanate,Couldn't get indication.
AUGMENTIN ES-600,Amoxicillin-clavulanate,"Respiratory tract infections, lower: Bite wounds (animal/human) (off-label use): Pneumonia, community-acquired (CAP): Prosthetic joint infection, chronic antimicrobial suppression, oxacillin-susceptible <i>Staphylococci </i>(alternative to cephalexin or cefadroxil) (off-label use): Impetigo (off-label use): Melioidosis, treatment (eradication phase) and postexposure prophylaxis (off-label use) (HHS [Lipsitz 2012]):  Urinary tract infection (UTI) (alternative agent): Chronic obstructive pulmonary disease (COPD) (off-label use): Susceptible infections: Febrile neutropenia, empiric therapy in low-risk cancer patients (off-label use):  Group A streptococci chronic carrier, treatment (off-label use): Sinusitis, acute bacterial:"
AVALIDE,Irbesartan-hydrochlorothiazide,Hypertension:
AVAPRO,Irbesartan,Hypertension: Diabetic nephropathy:
AVELOX,Moxifloxacin,Couldn't get indication.
AVITA,Topical tretinoin,"Acne vulgaris: Palliation of fine wrinkles (Refissa/Renova), mottled hyperpigmentation, and tactile roughness of facial skin (Refissa):"
AXERT,Almotriptan,Dosage adjustment with concomitant use of an enzyme inhibitor: Migraine:
AZILECT,Rasagiline,Parkinson disease: Dose reduction with concomitant ciprofloxacin or other CYP1A2 inhibitors:
AZOR,Amlodipine-olmesartan,Hypertension:
AZULFIDINE,Sulfasalazine,"Rheumatoid arthritis: Psoriasis (off-label use): Ulcerative colitis: Ankylosing spondylitis (off-label use) Psoriatic arthritis (off-label use): Crohn disease, active mild/moderate, ileocolonic or colonic disease (off-label use):"
AZULFIDINE EN-,Sulfasalazine,"Rheumatoid arthritis: Psoriasis (off-label use): Ulcerative colitis: Ankylosing spondylitis (off-label use) Psoriatic arthritis (off-label use): Crohn disease, active mild/moderate, ileocolonic or colonic disease (off-label use):"
BENICAR,Olmesartan,Hypertension:
BENICAR HCT,Olmesartan-hydrochlorothiazide,Hypertension:
BENZACLIN,Clindamycin-benzoyl peroxide,Inflammatory acne: Acne: Rosacea (off-label use): 
BENZAMYCIN,Erythromycin-benzoyl peroxide,Couldn't get indication.
BETAGAN,Levobunolol,Elevated intraocular pressure:
BETOPTIC,Betaxolol,Postoperative atrial fibrillation associated with cardiac surgery (prevention) (off-label use): Atrial fibrillation (rate control) (off-label use): Hypertension (alternative agent): Chronic stable angina (off-label use):
BIAXIN,Clarithromycin,"Bronchitis, acute bacterial exacerbation: Sinusitis: Lyme disease (off-label use): Prophylaxis against infective endocarditis (off-label use): Pharyngitis, tonsillitis (alternative agent): Usual dosage range: Bartonellosis in HIV-infected patients (excluding CNS infections and endocarditis) (off-label use; HHS [OI adult 2015]): Pneumonia, community-acquired: Pertussis (off-label use): Skin and skin structure infection, uncomplicated: Dosage adjustment for concomitant therapy: Mycobacterial infection, disseminated (prophylaxis and treatment): 
        <i>H. pylori </i>eradication"
BLOCADREN,Timolol (systemic),Myocardial infarction (secondary prevention): Atrial fibrillation (rate control) (off-label use): Migraine prophylaxis: Hypertension (alternative agent):
BREVIBLOC,Esmolol,"<i>or </i>n Acute coronary syndromes (when relative contraindications to beta-blockade exist; off-label use): Hypertensive emergencies (off-label use): Thyrotoxicosis or thyroid storm (off-label use): Intraoperative and postoperative tachycardia and/or hypertension: Ventricular tachycardia (off-label use):  Supraventricular tachycardia and atrial fibrillation/flutter <b><i>or </i>n</b><b>oncompensatory sinus tachycardia</b>: Guidelines for transfer to oral therapy (beta-blocker, calcium channel blocker): Electroconvulsive therapy (off-label use): Intubation (off-label use):"
BROMDAY,"
       ",Couldn't get indication.
BUMEX,Bumetanide,"Edema, heart failure: Note:  Hypertension (alternative agent) (off-label use):"
BUTRANS,Buprenorphine,Acute pain (moderate to severe): Note: Long-term use is not recommended. Opioid withdrawal in heroin-dependent hospitalized patients (off-label use): Perineural anesthesia (off-label use): Note Opioid dependence: Chronic pain (moderate to severe):
CADUET,Amlodipine-atorvastatin,"Hypertension, dyslipidemia, angina, documented CAD (without heart failure or ejection fraction &lt;40%), primary and secondary prevention of CVD: Dosage adjustment for atorvastatin with concomitant medications:"
CARAC,Fluorouracil,"Bladder cancer (off-label use): Glaucoma surgery, adjunctive therapy (off-label use):  Cervical cancer (off-label use): Colorectal cancer: Pancreatic cancer: Vulvar cancer, advanced (off-label use):  Esophageal cancer (off-label use): Head and neck cancer, squamous cell (off-label use): Gastric cancer: Breast cancer: Neuroendocrine tumors, pancreatic (off-label use):  Penile cancer, advanced, squamous cell (off-label use): Unknown primary cancer, squamous cell (off-label use):  Hepatobiliary cancer (off-label use): Anal carcinoma (off-label use):"
CARAFATE,Sucralfate,Duodenal ulcer:
CARBATROL,Carbamazepine,"Trigeminal or glossopharyngeal neuralgia: Epilepsy: Neuropathic pain, critically ill patients (off-label use): Restless legs syndrome (off-label use): Bipolar disorder: Equetro: Neuropsychiatric symptoms of dementia (off-label use):"
CARDIOLITE,Technetium Tc-99m sestamibi,Breast imaging: Myocardial imaging:
CARDIZEM,Diltiazem,"Hypertension: Atrial fibrillation (rate control) (off-label use): Idiopathic ventricular tachycardia (off-label use):  Supraventricular tachycardia (ongoing management) Conversion from IV diltiazem to oral diltiazem: Atrial fibrillation, atrial flutter, PSVT (acute treatment): Angina:"
CARDIZEM CD,Diltiazem,"Hypertension: Atrial fibrillation (rate control) (off-label use): Idiopathic ventricular tachycardia (off-label use):  Supraventricular tachycardia (ongoing management) Conversion from IV diltiazem to oral diltiazem: Atrial fibrillation, atrial flutter, PSVT (acute treatment): Angina:"
CARDIZEM LA,Diltiazem,"Hypertension: Atrial fibrillation (rate control) (off-label use): Idiopathic ventricular tachycardia (off-label use):  Supraventricular tachycardia (ongoing management) Conversion from IV diltiazem to oral diltiazem: Atrial fibrillation, atrial flutter, PSVT (acute treatment): Angina:"
CARNITOR,Carnitine supplements,"Valproic acid toxicity, acute (off-label use): Carnitine deficiency in patients with ESRD requiring dialysis: Carnitine deficiency (secondary): Carnitine deficiency (primary or secondary):"
CEDAX,Ceftibuten,Acute bacterial exacerbations of chronic bronchitis: Acute bacterial otitis media: Pharyngitis/tonsillitis:
CELEBREX,Celecoxib,"Dosing adjustment in poor CYP2C9 metabolizers (ie, CYP2C9*3/*3): Acute pain or primary dysmenorrhea: Rheumatoid arthritis: Ankylosing spondylitis: Osteoarthritis:"
CHILDREN'S MOTRIN,Ibuprofen,Dysmenorrhea: Rheumatoid arthritis: Antipyretic: Analgesia (mild to moderate pain): OTC labeling: Pericarditis (off-label use): Osteoarthritis:
CILOXAN,Ciprofloxacin,"Septic arthritis (without prosthetic material) (alternative agent): Note: Prosthetic joint infection (off-label use): Note:  Hematopoietic cell transplant (HCT) antibacterial prophylaxis (off-label use):  Neutropenic fever, low-risk cancer patients (empiric therapy) (off-label use): Prostatitis (chronic bacterial) Plague (<i>Yersinia pestis</i>) infection (alternative agent) (CDC [plague] 2015): Note:  Peritonitis, spontaneous bacterial (prevention), high-risk patients (eg, hospitalized patients with Child-Pugh class B or C cirrhosis and active GI bleeding) (alternative agent) (off-label use) (Runyon 2017): Surgical (preoperative) prophylaxis (alternative agent) (off-label use): Note: Traveler's diarrhea, uncomplicated (empiric therapy) (off-label dose):  Pneumonia, hospital-acquired (nosocomial) (including ventilator-associated), as a component of empiric therapy for <i>P. aeruginosa</i> coverage (File 2017b; IDSA [Kalil 2016]): Note: Meningococcal meningitis prophylaxis (off-label use): Diabetic foot infections (off-label use) (IDSA [Lipsky 2012]; Weintrob 2017): Note: Anthrax: Tularemia (<i>Francisella tularensis</i>) (off-label use):  Intra-abdominal infections  Bite wound infection, prophylaxis or treatment (animal and human bites) (alternative agent) (off-label use) (IDSA [Stevens 2014]): Note: : Granuloma inguinale (donovanosis) (alternative agent) (off-label use): 
        <i>Shigella</i> GI infection (off-label dose): Surgical site infection (intestinal or GU tract, perineum, or axilla) (off-label use) (IDSA [Stevens 2014]): Osteomyelitis: Peritoneal dialysis catheter, exit-site or tunnel infection (off-label use): Cat scratch disease, lymphadenitis (nondisseminated) (alternative agent) (off-label use):  Cholera (<i>Vibrio cholerae</i>) (alternative agent) (off-label use):  
        <i>Salmonella</i> species, GI infection: Meningitis, bacterial (community-acquired or health care-associated) (alternative agent) (off-label use): Pneumonia, community-acquired, as a component of empiric therapy for <i>P. aeruginosa</i> coverage (hospitalized patient) (off-label use) (File 2017a; IDSA/ATS [Mandell 2007]): Note: Prostatitis (acute bacterial) (off-label use): Note:  Chancroid (alternative agent) (off-label use):  Urinary tract infection  (UTI): Endocarditis due to HACEK organisms (alternative agent) (off-label use) (AHA [Baddour 2015]): Neutropenia (chemotherapy-induced), antibacterial prophylaxis in high-risk patients anticipated to have an ANC ‰ä_100 cells/mm<sup>3</sup> for &gt;7 days"
CIPRO,Ciprofloxacin,"Septic arthritis (without prosthetic material) (alternative agent): Note: Prosthetic joint infection (off-label use): Note:  Hematopoietic cell transplant (HCT) antibacterial prophylaxis (off-label use):  Neutropenic fever, low-risk cancer patients (empiric therapy) (off-label use): Prostatitis (chronic bacterial) Plague (<i>Yersinia pestis</i>) infection (alternative agent) (CDC [plague] 2015): Note:  Peritonitis, spontaneous bacterial (prevention), high-risk patients (eg, hospitalized patients with Child-Pugh class B or C cirrhosis and active GI bleeding) (alternative agent) (off-label use) (Runyon 2017): Surgical (preoperative) prophylaxis (alternative agent) (off-label use): Note: Traveler's diarrhea, uncomplicated (empiric therapy) (off-label dose):  Pneumonia, hospital-acquired (nosocomial) (including ventilator-associated), as a component of empiric therapy for <i>P. aeruginosa</i> coverage (File 2017b; IDSA [Kalil 2016]): Note: Meningococcal meningitis prophylaxis (off-label use): Diabetic foot infections (off-label use) (IDSA [Lipsky 2012]; Weintrob 2017): Note: Anthrax: Tularemia (<i>Francisella tularensis</i>) (off-label use):  Intra-abdominal infections  Bite wound infection, prophylaxis or treatment (animal and human bites) (alternative agent) (off-label use) (IDSA [Stevens 2014]): Note: : Granuloma inguinale (donovanosis) (alternative agent) (off-label use): 
        <i>Shigella</i> GI infection (off-label dose): Surgical site infection (intestinal or GU tract, perineum, or axilla) (off-label use) (IDSA [Stevens 2014]): Osteomyelitis: Peritoneal dialysis catheter, exit-site or tunnel infection (off-label use): Cat scratch disease, lymphadenitis (nondisseminated) (alternative agent) (off-label use):  Cholera (<i>Vibrio cholerae</i>) (alternative agent) (off-label use):  
        <i>Salmonella</i> species, GI infection: Meningitis, bacterial (community-acquired or health care-associated) (alternative agent) (off-label use): Pneumonia, community-acquired, as a component of empiric therapy for <i>P. aeruginosa</i> coverage (hospitalized patient) (off-label use) (File 2017a; IDSA/ATS [Mandell 2007]): Note: Prostatitis (acute bacterial) (off-label use): Note:  Chancroid (alternative agent) (off-label use):  Urinary tract infection  (UTI): Endocarditis due to HACEK organisms (alternative agent) (off-label use) (AHA [Baddour 2015]): Neutropenia (chemotherapy-induced), antibacterial prophylaxis in high-risk patients anticipated to have an ANC ‰ä_100 cells/mm<sup>3</sup> for &gt;7 days"
CLEOCIN,Clindamycin,"Osteomyelitis Skin and soft tissue infections: Anthrax (off-label use): Note: 
        <i>Pneumocystis</i> Malaria (off-label use): Diabetic foot infection, mild to moderate (alternative agent) (off-label use): Prosthetic joint infection (alternative agent for penicillin allergy) (off-label use): Odontogenic infection (alternative agent for penicillin-allergic patients) (off-label use): Perioperative prophylaxis (in combination with other appropriate agents when coverage for methicillin-resistant <i>S. aureus </i>is indicated or for gram-positive coverage in patients unable to tolerate cephalosporins) (off-label use):  Endocarditis, prophylaxis (dental or invasive respiratory tract procedures) (alternative agent for penicillin-allergic patients) (off-label use): Streptococcus (group A): Neutropenic fever, empiric therapy for low-risk cancer patients (alternative agent for penicillin-allergic patients) (off-label use): Group B streptococci, maternal prophylaxis for prevention of neonatal disease (alternative agent) (off-label use): Toxoplasma gondii Septic arthritis due to <i>Staphylococcus aureus</i> (including MRSA) (alternative agent): Pelvic inflammatory disease, severe: Postpartum endometritis (off- encephalitis and pneumonitis (alternative agent) (off label use): Usual dose: Babesiosis (off-label use): Bacterial vaginosis (alternative agent) (off-label use): Pneumonia due to MRSA (alternative agent) (off-label use): Bite wounds, prophylaxis or treatment, animal or human bites (alternative agent) (off-label use): Note: Hidradenitis suppurativa (off-label use):  Toxic shock syndrome (empiric therapy):"
CLEOCIN PEDIATRIC,Clindamycin,"Osteomyelitis Skin and soft tissue infections: Anthrax (off-label use): Note: 
        <i>Pneumocystis</i> Malaria (off-label use): Diabetic foot infection, mild to moderate (alternative agent) (off-label use): Prosthetic joint infection (alternative agent for penicillin allergy) (off-label use): Odontogenic infection (alternative agent for penicillin-allergic patients) (off-label use): Perioperative prophylaxis (in combination with other appropriate agents when coverage for methicillin-resistant <i>S. aureus </i>is indicated or for gram-positive coverage in patients unable to tolerate cephalosporins) (off-label use):  Endocarditis, prophylaxis (dental or invasive respiratory tract procedures) (alternative agent for penicillin-allergic patients) (off-label use): Streptococcus (group A): Neutropenic fever, empiric therapy for low-risk cancer patients (alternative agent for penicillin-allergic patients) (off-label use): Group B streptococci, maternal prophylaxis for prevention of neonatal disease (alternative agent) (off-label use): Toxoplasma gondii Septic arthritis due to <i>Staphylococcus aureus</i> (including MRSA) (alternative agent): Pelvic inflammatory disease, severe: Postpartum endometritis (off- encephalitis and pneumonitis (alternative agent) (off label use): Usual dose: Babesiosis (off-label use): Bacterial vaginosis (alternative agent) (off-label use): Pneumonia due to MRSA (alternative agent) (off-label use): Bite wounds, prophylaxis or treatment, animal or human bites (alternative agent) (off-label use): Note: Hidradenitis suppurativa (off-label use):  Toxic shock syndrome (empiric therapy):"
CLEOCIN T,Clindamycin,"Osteomyelitis Skin and soft tissue infections: Anthrax (off-label use): Note: 
        <i>Pneumocystis</i> Malaria (off-label use): Diabetic foot infection, mild to moderate (alternative agent) (off-label use): Prosthetic joint infection (alternative agent for penicillin allergy) (off-label use): Odontogenic infection (alternative agent for penicillin-allergic patients) (off-label use): Perioperative prophylaxis (in combination with other appropriate agents when coverage for methicillin-resistant <i>S. aureus </i>is indicated or for gram-positive coverage in patients unable to tolerate cephalosporins) (off-label use):  Endocarditis, prophylaxis (dental or invasive respiratory tract procedures) (alternative agent for penicillin-allergic patients) (off-label use): Streptococcus (group A): Neutropenic fever, empiric therapy for low-risk cancer patients (alternative agent for penicillin-allergic patients) (off-label use): Group B streptococci, maternal prophylaxis for prevention of neonatal disease (alternative agent) (off-label use): Toxoplasma gondii Septic arthritis due to <i>Staphylococcus aureus</i> (including MRSA) (alternative agent): Pelvic inflammatory disease, severe: Postpartum endometritis (off- encephalitis and pneumonitis (alternative agent) (off label use): Usual dose: Babesiosis (off-label use): Bacterial vaginosis (alternative agent) (off-label use): Pneumonia due to MRSA (alternative agent) (off-label use): Bite wounds, prophylaxis or treatment, animal or human bites (alternative agent) (off-label use): Note: Hidradenitis suppurativa (off-label use):  Toxic shock syndrome (empiric therapy):"
CLINORIL,Sulindac,"Ankylosing spondylitis:  Acute gouty arthritis: Bursitis/tendinitis of the shoulder: Osteoarthritis, rheumatoid arthritis:"
CLOBEX,Clobetasol,"Moderate to severe plaque-type psoriasis: Mild to moderate plaque-type psoriasis of nonscalp areas:  Oral mucosal inflammation (off-label use): Steroid-responsive dermatoses: Scalp psoriasis, moderate to severe:"
CLODERM,Clocortolone,Note:  Steroid-responsive dermatoses:
CLOLAR,Clofarabine,"Acute lymphoblastic leukemia (ALL), relapsed or refractory: Acute lymphoblastic leukemia, relapsed/refractory (ALL; off-label population): Acute myeloid leukemia (AML), refractory (off-label use): 
        <i>Premedications: </i>"
CLOMID,Clomiphene,Ovulation induction:
CLOZARIL,Clozapine,"
        <i>Discontinuation of therapy:</i> 
        <i>Reinitiation of therapy:</i> Bipolar disorder (treatment-resistant) (off-label use): Suicidal behavior in schizophrenia or schizoaffective disorder: Psychosis in Parkinson disease (off-label use):  
        <i>Dosage adjustment with concomitant therapy:</i> Schizophrenia:"
COGENTIN,Benztropine,Parkinsonism: Drug-induced 
COLAZAL,Balsalazide,"Ulcerative colitis, remission maintenance (off-label): Ulcerative colitis:"
COLCRYS,Colchicine,Indication-specific dosing:  Dosage adjustment for concomitant therapy with CYP3A4 or P-gp inhibitors:
COLESTID,Colestipol,Pruritus with primary biliary obstruction (off-label use):  Primary hypercholesterolemia:
COLY-MYCIN M,Colistin,"Pneumonia, hospital-acquired or ventilator-associated due to susceptible multidrug-resistant gram-negative bacilli (eg, <i>Pseudomonas aeruginosa</i>, <i>Acinetobacter spp</i>) (off-label): Meningitis (susceptible gram-negative organisms): Severe infections (due to multidrug-resistant organisms susceptible to colistin in the critically ill) (off-label dosing):  Bronchiectasis, pulmonary colonization/infection with susceptible organisms in cystic fibrosis and noncystic fibrosis patients (off-label use/route): Susceptible infections:  Cystic fibrosis (off-label use):"
COLYTE,Polyethylene glycol-electrolyte solution,Whole bowel irrigation (off-label use) (AACT 2004): Bowel cleansing:
COMTAN,Entacapone,Parkinson disease:
CONCERTA,Methylphenidate,"ADHD:  Fatigue, cancer-related (off-label use):  not  Depression in medically-ill older adults or adult patients with terminal illness and/or receiving palliative care (off-label use): Narcolepsy:"
CONDYLOX,Podofilox,Genital and perianal warts: Molluscum contagiosum (off-label use):  Genital warts:
CONZIP,Tramadol,"Premature ejaculation (alternative agent) (off-label use): Pain management: Note: Restless legs syndrome, refractory (alternative agent) (off-label use): "
CORGARD,Nadolol,Catecholaminergic polymorphic ventricular tachycardia (prevention) (off-label use):  Atrial fibrillation (rate control) (off-label use):  (prevention) (off-label use):  Gastroesophageal variceal hemorrhage prophylaxis in patients with cirrhosis (off-label use):  Ventricular tachycardia (prevention) (off- Thyrotoxicosis (off-label use): Ventricular arrhythmias  Ventricular premature beat (suppression) (off- Hypertension (alternative agent): Angina: Supraventricular tachycardia (off-label use): 
CORTEF,Hydrocortisone,"Thyroid storm (off-label use): Stress dosing in patients known to be adrenally-suppressed (ie, prevention of adrenal crisis in glucocorticoid-treated patients) (off-label dose):  Multiple sclerosis, acute exacerbations: Adrenal insufficiency:  Anti-inflammatory or immunosuppressive: Septic shock (off-label use):  Congenital adrenal hyperplasia (off-label dose):"
CORTENEMA,Hydrocortisone,"Thyroid storm (off-label use): Stress dosing in patients known to be adrenally-suppressed (ie, prevention of adrenal crisis in glucocorticoid-treated patients) (off-label dose):  Multiple sclerosis, acute exacerbations: Adrenal insufficiency:  Anti-inflammatory or immunosuppressive: Septic shock (off-label use):  Congenital adrenal hyperplasia (off-label dose):"
CORTISPORIN OTIC,Neomycin-polymyxin B-hydrocortisone,Inflammatory ocular conditions:
COSMEGEN,Dactinomycin,"Note: Medication orders for dactinomycin are commonly written in MICROgrams (eg, 150 mcg) although many regimens list the dose in MILLIgrams (eg, mg/kg or mg/m<sup>2</sup>). Osteosarcoma (off-label use): Wilms tumor:  Gestational trophoblastic neoplasm: Regional perfusion Ewing sarcoma:  Ovarian germ cell tumors, malignant (off-label use): Rhabdomyosarcoma:  Soft tissue sarcoma of the extremities, locally advanced/unresectable (off-label use): Testicular cancer, metastatic (nonseminomatous):"
COZAAR,Losartan,Hypertension: Diabetic nephropathy: Heart failure (off-label use): Hypertension with left ventricular hypertrophy:
CUTIVATE,Fluticasone,Couldn't get indication.
CYCLESSA,Ethinyl estradiol-desogestrel,"With a Sunday start, an additional method of contraception should be used until after the first 7 days of consecutive administration. "
CYTOTEC,Misoprostol,"Postpartum hemorrhage (treatment) (off-label use): Note: NSAID-induced gastric ulcers, prevention: Termination of intrauterine pregnancy: Early pregnancy loss (off-label use): Labor induction or cervical ripening (off-label uses): Postpartum hemorrhage (prevention) (off-label use): Note: Incomplete abortion (treatment) (off-label use): Missed abortion (treatment) (off-label use):"
DANTRIUM,Dantrolene,Malignant hyperthermia (MH): Neuroleptic malignant syndrome (off-label use): Chronic spasticity:
DAYPRO,Oxaprozin,"Osteoarthritis, rheumatoid arthritis:"
DDAVP,Desmopressin,"Diabetes insipidus: Note: Intracranial hemorrhage associated with certain antiplatelet agents (aspirin, clopidogrel, prasugrel, ticlopidine, ticagrelor, cangrelor) (off-label use):  Nocturia: Prevention of surgical bleeding in patients with uremia (off-label use in US): Primary nocturnal enuresis: Uremic bleeding: Uremic bleeding associated with acute or chronic renal failure (off-label use in US): Hemophilia A and von Willebrand disease (type 1):"
